stage,dataset,method,cell,seed,mae,rmse,r2,mae_raw,raw_pvr,proj_pvr,accept_rate,k0_labelfree,n_refine_iters
e4,calce,no_anchor,CS2_34,99,3.7873031845165093,4.5725431571351205,0.8945735621064178,17.604434967041016,89.41935483870968,0.0,26.085176085176087,0.35,14.0
e4,calce,no_projection,CS2_34,99,3.77238753476572,4.5435503254206235,0.8959062649103628,23.73505973815918,89.03225806451613,0.0,25.675675675675674,0.35,14.0
e4,calce,direct_proj,CS2_34,99,3.6765983910487923,4.390990244800352,0.9027792759487913,24.558956146240234,89.6774193548387,0.0,,,
e1,calce,direct,CS2_35,99,19.737476348876953,21.655200134634953,-0.8581868410110474,19.737476348876953,72.96137339055794,,,,
e2,calce,coral,CS2_35,99,18.604692459106445,22.073217452626555,-0.9306175708770752,18.604692459106445,63.30472103004292,,,,
e2,calce,self_train,CS2_35,99,19.94586944580078,22.050617595163292,-0.926666259765625,19.94586944580078,78.00429184549357,,,,
e2,calce,dann,CS2_35,99,23.081863403320312,25.91387525369493,-1.6609070301055908,23.081863403320312,82.93991416309014,,,,
e3,calce,hipif,CS2_35,99,4.6958913558112885,6.126124459176575,0.8512912337119278,18.74283218383789,72.96137339055794,0.0,22.530145969959804,0.35,14.0
e4,calce,no_gate,CS2_35,99,5.250492524905959,7.569868461723476,0.7729394919727741,5.594664573669434,12.339055793991417,0.0,100.0,0.35,14.0
e4,calce,no_anchor,CS2_35,99,4.25307927309386,5.390358314086284,0.88486689709655,9.120495796203613,66.41630901287554,0.0,22.805161836259785,0.35,14.0
e4,calce,no_projection,CS2_35,99,4.77159086954459,6.377056369360506,0.838859223905022,19.61757469177246,69.31330472103005,0.0,23.059022635921302,0.35,14.0
e4,calce,direct_proj,CS2_35,99,4.634288007016831,6.053020832251806,0.85481916952444,19.737476348876953,72.96137339055794,0.0,,,
e1,calce,direct,CS2_36,99,20.191638946533203,22.29360153024749,-0.5943781137466431,20.191638946533203,71.73689619732785,,,,
e2,calce,coral,CS2_36,99,19.685178756713867,23.196938621847956,-0.7262042760848999,19.685178756713867,62.79547790339157,,,,
e2,calce,self_train,CS2_36,99,20.26800537109375,22.515669050312564,-0.6262996196746826,20.26800537109375,74.61459403905447,,,,
e2,calce,dann,CS2_36,99,20.89291763305664,23.645252407740994,-0.7935718297958374,20.89291763305664,75.33401849948612,,,,
e3,calce,hipif,CS2_36,99,5.704922445012119,7.092044835667737,0.8386481958997221,19.357196807861328,73.27852004110997,0.0,21.98036705078959,0.35,14.0
e4,calce,no_gate,CS2_36,99,6.8436607317414415,9.660179133202936,0.7006348508072462,7.559485912322998,38.335046248715315,0.0,100.0,0.35,14.0
e4,calce,no_anchor,CS2_36,99,5.743060832318495,7.1601322508310705,0.8355351972114102,15.876290321350098,73.17574511819116,0.0,21.74562526675203,0.35,14.0
e4,calce,no_projection,CS2_36,99,6.004945122767231,7.5991268823390925,0.8147499761532532,19.964853286743164,72.66187050359713,0.0,22.535211267605636,0.35,14.0
e4,calce,direct_proj,CS2_36,99,5.80595669628591,7.278466082766507,0.8300541335817947,20.191638946533203,71.73689619732785,0.0,,,
e1,calce,direct,CS2_37,99,19.244516372680664,21.039089334600412,-0.7722561359405518,19.244516372680664,74.54194792671167,,,,
e2,calce,coral,CS2_37,99,19.009315490722656,22.09181820033119,-0.9540493488311768,19.009315490722656,64.99517839922855,,,,
