stage,dataset,method,cell,seed,mae,rmse,r2,mae_raw,raw_pvr,proj_pvr,pvr_I1,pvr_I2,pvr_I3,pvr_I4,pvr_all
e5,nasa,drop_I3,B0018,256,1.8128937186330956,2.1093215481491367,0.9252464841869554,11.87270450592041,93.18181818181817,0.0,0.0,6.0606060606060606,0.0,93.18181818181817,94.6969696969697
e5,nasa,drop_I4,B0018,256,2.511188403031186,2.9735041996417872,0.8514464081152913,2.471142530441284,0.0,0.0,0.0,25.0,0.0,0.0,27.27272727272727
e6,nasa,calib_H0,B0018,256,5.024989970647206,5.438022595332072,0.5031468355028476,3.5302045345306396,0.0,0.0,,,,,
e6,nasa,calib_H1,B0018,256,1.8059947281376085,2.091903425866485,0.9264759694238489,11.986668586730957,93.93939393939394,0.0,,,,,
e6,nasa,calib_H2,B0018,256,1.8765654825754043,2.1274225001311433,0.923957998231781,11.976414680480957,93.93939393939394,0.0,,,,,
e5,nasa,drop_I1,B0005,1234,2.6794560059515713,2.874678607353278,0.9082852375070298,12.555827140808105,89.28571428571429,0.0,0.0,9.523809523809524,0.0,89.28571428571429,91.07142857142857
e5,nasa,drop_I2,B0005,1234,2.6501398853264986,2.8557220798915637,0.9094908408017821,12.4690523147583,89.28571428571429,0.0,0.0,9.523809523809524,0.0,89.28571428571429,93.45238095238095
e5,nasa,drop_I3,B0005,1234,2.766608099121884,2.9495529227477015,0.90344538477345,12.763352394104004,89.88095238095238,0.0,0.0,7.738095238095238,0.0,89.88095238095238,91.07142857142857
e5,nasa,drop_I4,B0005,1234,2.328931396387524,2.6183192403241837,0.923913808541967,3.6412811279296875,41.66666666666667,0.0,0.0,5.357142857142857,0.0,41.66666666666667,43.452380952380956
e6,nasa,calib_H0,B0005,1234,1.7428323555234404,2.1838082668820316,0.9470714906442408,4.164326190948486,0.0,0.0,,,,,
e6,nasa,calib_H1,B0005,1234,2.6917484890062235,2.884674060811573,0.9076463317141887,12.546065330505371,89.28571428571429,0.0,,,,,
e6,nasa,calib_H2,B0005,1234,2.681364840419606,2.875966616516179,0.9082030328958386,12.715736389160156,89.88095238095238,0.0,,,,,
e5,nasa,drop_I1,B0006,1234,2.145356650952267,2.4649916485644474,0.9615096637607097,11.8983154296875,85.11904761904762,0.0,0.0,6.547619047619048,0.0,85.11904761904762,85.11904761904762
e5,nasa,drop_I2,B0006,1234,2.139102761165767,2.459510041426104,0.9616806617478358,11.493233680725098,85.11904761904762,0.0,0.0,5.952380952380952,0.0,85.11904761904762,85.11904761904762
e5,nasa,drop_I3,B0006,1234,2.122989284269345,2.4370974243662586,0.962375859984391,11.862592697143555,85.11904761904762,0.0,0.0,5.357142857142857,0.0,85.11904761904762,85.11904761904762
e5,nasa,drop_I4,B0006,1234,2.5246021802386593,3.036694585025271,0.9415851816407992,3.9931857585906982,54.166666666666664,0.0,0.0,17.261904761904763,0.0,53.57142857142857,57.738095238095234
e6,nasa,calib_H0,B0006,1234,3.1835934298792394,3.603113865380758,0.9177611981664728,2.2087788581848145,0.0,0.0,,,,,
e6,nasa,calib_H1,B0006,1234,2.1365249111086104,2.458456470923632,0.9617134841203847,12.12632942199707,88.69047619047619,0.0,,,,,
e6,nasa,calib_H2,B0006,1234,2.154978542896114,2.4649198366410623,0.9615119063847902,11.720088005065918,84.52380952380952,0.0,,,,,
e5,nasa,drop_I1,B0007,1234,2.2215010773848665,2.3912523394509484,0.9111781480660188,17.811233520507812,94.64285714285714,0.0,0.0,8.928571428571429,0.0,94.64285714285714,95.83333333333334
e5,nasa,drop_I2,B0007,1234,2.210266654322607,2.3791898590846468,0.9120719972862965,17.889724731445312,94.64285714285714,0.0,0.0,8.928571428571429,0.0,94.64285714285714,95.83333333333334
e5,nasa,drop_I3,B0007,1234,2.2416013188764774,2.41606783507212,0.9093250644796991,18.15496253967285,94.64285714285714,0.0,0.0,8.928571428571429,0.0,94.64285714285714,95.83333333333334
e5,nasa,drop_I4,B0007,1234,2.0958576183102613,2.252210915305901,0.9212070925843203,6.437441825866699,76.19047619047619,0.0,0.0,17.857142857142858,0.0,76.19047619047619,82.14285714285714
e6,nasa,calib_H0,B0007,1234,3.9259451309483713,4.6640889761852,0.6620887415559584,7.456154823303223,0.0,0.0,,,,,
e6,nasa,calib_H1,B0007,1234,2.2235745895067796,2.392508898269116,0.9110847750631662,17.903118133544922,94.64285714285714,0.0,,,,,
e6,nasa,calib_H2,B0007,1234,2.2472600787782073,2.415698750908661,0.90935276579339,17.82451820373535,94.64285714285714,0.0,,,,,
